Name,volume,group_games,college_life_and_alumni,sports,art_and_culture,comedy,theater_and_performing_arts,outdoor_recreation,seasonal_and_holidays,educational_events,local_and_neighborhood_pride,classical_music,pop_rock,alternative_rock,electronic_music,hip_hop_and_rnb,jazz_and_blues,country_and_folk,festivals_fairs_and_attractions,movies_and_cinema
outdoors,585,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
rb,579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
all,578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
seminar,577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
retail,574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
classical,574,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
causes,566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
racquet,565,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
funny,552,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
football,552,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crafts,545,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
preschool,542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
americana,539,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
comic,534,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stand-up,534,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rock,525,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
band,524,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
film,521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
science,521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
classical,511,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
volleyball,501,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ages,491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cvb,487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
folk,486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
tech,484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
planet,482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
restaurant,482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
